id,first_name,last_name,gender,date_of_birth,height,weight
67-5564727,Claudia,Wyllt,Female,05-15-1975,154,143
84-4095458,Casie,Tindall,Female,06-29-1993,181,112
93-3851736,Nehemiah,Nend,Male,01-22-2002,149,102
27-6289607,Quinn,Caudrey,Female,10-07-1967,187,74
46-8707917,Reggi,Cleve,Female,01-04-1946,184,75
37-1790529,Freemon,Petrasek,Male,01-20-2010,197,106
06-0150978,Farlie,Tuson,Male,04-08-2003,180,90
04-7828573,Terrijo,Dobbson,Female,07-01-1959,190,113
30-6376284,Gus,Highwood,Male,09-25-2020,155,139
61-3521371,Mildred,Cowburn,Female,10-21-1979,153,88
23-3589504,Kimball,Canero,Male,11-08-1997,155,58
76-1375943,Dominik,Odney,Male,11-29-1998,145,93
32-1141494,Sal,Gatenby,Male,01-07-1946,151,142
75-6831544,Diann,Mellem,Female,03-04-1949,171,79
73-1085106,Colas,Gennerich,Male,08-12-1966,210,106
67-2544257,Gaby,Buesnel,Female,01-07-1999,176,102
89-5271656,Jemie,Puddin,Female,04-14-1964,180,93
08-5555724,Fanny,Rothermel,Female,11-13-1985,159,106
37-5667147,Renie,Sprigging,Female,01-27-1989,149,77
65-9637692,Marice,Juggins,Female,09-08-1946,162,115
88-8479426,Dara,MacRinn,Female,11-28-1946,150,78
29-6974195,Noland,Jaggers,Male,09-15-2013,197,110
42-2144035,Marty,Drakes,Male,08-07-1987,191,109
06-5975373,Jo ann,Inwood,Female,06-17-1974,166,118
69-5778573,Domini,Mattingley,Female,05-04-1963,192,54
97-0850510,Fraser,Brill,Male,09-07-2001,162,111
86-4881748,Tabitha,Renfree,Female,03-04-1994,196,88
38-3046519,Gunther,Aldins,Male,07-20-2020,206,113
80-4092487,Sibylle,Cotterel,Female,01-12-1990,148,139
96-0221576,Aryn,Rubenovic,Female,06-02-2010,203,100
97-9889941,Andrea,Seamon,Male,10-24-1948,190,121
91-8937368,Denis,Sowte,Male,12-26-1975,196,82
23-2174446,Bing,Feldklein,Male,07-30-1999,201,135
39-0848446,Star,Broxup,Female,02-14-1993,163,148
33-8171165,Regan,Gwillym,Female,12-01-2001,155,109
52-8095726,Kendal,Merry,Male,10-26-1969,210,127
59-7427854,Jacquenette,Elletson,Female,02-16-1961,207,119
38-5507297,Andrea,Casely,Female,09-02-1979,210,77
73-5138953,Weider,Durdy,Male,01-28-2009,202,101
93-0027238,Carrie,Werndly,Female,06-14-1955,171,61
99-9452119,Henrietta,Sherratt,Female,05-13-2006,196,144
48-0114292,Sissie,Beneix,Female,07-24-1985,172,108
89-4938512,Brandie,Lynagh,Female,05-30-1958,181,79
41-4461478,Gamaliel,Jaggli,Male,07-28-1983,191,57
90-6491975,Morie,Bontoft,Male,08-11-1999,200,87
58-8032212,Dawna,Feares,Female,10-21-1985,198,68
04-6280374,Codi,Napoleone,Male,01-04-1972,149,51
94-1666815,Natala,Joyes,Female,01-21-2007,162,101
25-1025876,Viole,Thys,Female,03-30-1969,185,56
45-6790657,Iolande,Whittles,Female,03-24-1990,208,106
83-2648263,Corbin,Mocquer,Male,10-23-1949,183,139
30-6216924,Morgana,Malins,Female,11-13-1956,151,143
81-6656943,Alphard,Muat,Male,06-29-2000,193,113
35-6621163,Margarita,Cufley,Female,06-23-1995,184,55
92-9130132,Georgina,Dellenty,Female,04-24-1960,177,115
44-1091294,Germayne,Klewi,Male,03-14-1965,186,61
39-4203882,Pandora,Hapke,Female,10-20-1947,203,103
62-2408216,Carmelia,Bohlens,Female,10-09-1951,163,136
44-7031988,Damon,Hallor,Male,06-21-2001,156,65
30-6275116,Filippa,Trowsdall,Female,12-24-1988,185,123
56-9039307,Lani,Cucuzza,Female,02-08-1996,177,142
13-2626363,Tiebout,Murrigan,Male,07-13-1991,155,52
54-8227981,Tammy,Gorelli,Male,10-16-1956,181,143
72-0711068,Timmie,Tuffell,Male,01-02-1972,191,119
41-6408246,Alix,Loxdale,Male,01-27-2007,159,48
15-4314293,Evvie,Breton,Female,07-28-1978,196,66
47-6669175,Efrem,Dunnion,Male,08-28-1954,182,58
17-6649028,Veradis,Kinworthy,Female,03-04-1999,165,53
90-8748508,Hoyt,Bramham,Male,10-31-1990,198,83
19-1128355,Powell,Canty,Male,08-23-2014,182,101
96-7080414,Lemar,Garnett,Male,07-08-1952,194,58
05-7297512,Janella,Virgoe,Female,09-10-1973,199,86
44-3238517,Blake,Birkbeck,Male,12-29-1965,164,77
57-1617725,Roderick,Prene,Male,05-26-2014,175,120
16-1707098,Dion,Barz,Male,03-28-1952,148,85
86-5579106,Fred,Giuroni,Male,04-06-1983,162,89
25-2925924,Angus,Asser,Male,03-25-1967,161,60
42-0823640,Ivonne,Augur,Female,05-26-1980,180,53
87-9482627,Clarabelle,Halden,Female,12-25-2002,177,121
34-8078838,Roderick,Edden,Male,07-31-1959,163,97
73-8972190,Iain,Gras,Male,03-19-1949,193,78
13-1270743,Barbabas,de Nore,Male,05-18-2015,151,65
26-9779947,Allan,Skillings,Male,09-18-2014,161,62
19-2053741,Niki,Colnett,Female,10-08-1971,180,69
69-7703196,Bruce,Smithson,Male,05-16-1980,184,123
34-1169815,Kienan,MacGiffin,Male,04-20-1995,198,86
64-4955586,Caralie,Dack,Female,12-23-1976,205,47
13-6527750,Roberta,Triplett,Female,01-15-2014,173,100
45-9689931,Steward,Crang,Male,08-03-1980,205,48
24-7438574,Aubrey,Bladesmith,Male,06-01-1974,187,85
89-2948026,Mallory,Glasser,Male,11-06-1962,166,128
26-9637970,Spenser,Parton,Male,05-02-1979,168,88
20-5202880,Grace,Dionisetto,Male,10-30-1995,152,45
14-8428545,Guenevere,Tax,Female,08-05-1974,145,60
74-0574804,Aimee,Jann,Female,07-25-2000,203,117
15-3737161,Engracia,Hayne,Female,01-12-1956,180,137
10-2448954,Elsie,Blaes,Female,04-26-1958,183,113
41-3541791,Veronika,Lemerle,Female,10-06-1956,158,56
28-8519548,Nye,Deveraux,Male,11-22-1987,156,102
66-9767755,Ron,Dragoe,Male,10-25-2000,202,92
01-8939437,Lira,Sweatman,Female,09-25-1964,195,103
66-2228078,Kathryne,Wingatt,Female,10-04-2018,170,53
64-4942746,Ruperto,Degenhardt,Male,06-13-1997,200,83
98-7742067,Rebe,Giovani,Female,01-20-1948,178,125
17-7251129,Virginia,Sirl,Female,10-14-1994,194,64
79-8686746,Oralie,Wallen,Female,05-26-1971,177,150
49-1676137,Lezley,Klaesson,Male,04-22-1955,207,71
78-5559025,Connor,Nickolls,Male,12-17-2004,192,143
83-3771069,Johna,Dietmar,Female,12-13-1997,192,146
71-9780517,Zacharie,Andresen,Male,10-06-1949,145,145
15-8373346,Abagail,Cromly,Female,09-14-1997,172,146
48-9617264,Alfred,Simnel,Male,06-21-2001,165,60
79-1476651,Gilbertina,Brett,Female,01-16-1975,151,89
13-2859941,Olwen,Doutch,Female,09-02-1980,151,142
69-6515192,Nomi,O' Liddy,Female,08-09-1972,188,97
70-7080322,Casie,Stracey,Female,05-29-1972,169,103
19-3809381,Cosmo,Pisco,Male,05-21-1985,186,61
48-8426279,Riki,Guinery,Female,01-19-1988,186,88
86-1747015,Leonard,Jack,Male,09-24-1967,174,137
13-6563331,Averell,Carrel,Male,06-23-1958,183,100
75-2102473,Bondon,Unworth,Male,04-07-1986,189,125
97-7716457,Beau,Wrout,Male,07-31-2001,206,48
52-1818842,Coleen,Lowre,Female,09-14-2017,158,146
72-6097287,Braden,Colliar,Male,02-14-2014,163,108
24-5456005,Bennie,Halwell,Female,11-21-2004,182,64
76-7651252,Cedric,Flatte,Male,10-21-1975,157,71
64-3975915,Yvon,Ticic,Male,10-28-2008,196,56
41-8464985,Rad,Windley,Male,11-16-2014,151,117
87-7380214,Monah,Yearnsley,Female,12-28-1966,145,116
89-4867505,Daniela,Scurry,Female,07-15-1960,182,129
77-7267002,Currey,Whitcher,Male,09-13-1994,160,98
30-3325036,Cy,Parncutt,Male,03-26-1982,190,133
89-1448293,Susanne,Leyden,Female,08-05-2011,168,104
09-0348989,Letisha,Slafford,Female,09-21-1956,167,75
58-0148931,Catlee,Gardener,Female,03-25-1947,183,136
94-9532493,Felicia,Wrout,Female,01-10-1965,174,143
74-5106367,Roarke,Michie,Male,03-27-1962,187,49
61-8576835,Monique,Giacomuzzi,Female,08-05-1960,150,138
96-8550091,Jo-anne,Barke,Female,02-14-1952,159,79
14-5494781,Jordon,New,Male,12-11-1966,150,84
07-3344742,Hugibert,Jorden,Male,06-16-1977,168,111
20-0610780,Dierdre,Grabiec,Female,10-01-1993,172,48
05-8702500,Caren,Costell,Female,10-13-1965,195,148
66-3737581,Jesselyn,Weatherdon,Female,10-24-2012,178,126
11-6365201,Agustin,Hedgecock,Male,02-22-2018,181,82
92-1024575,Clayson,Gould,Male,12-07-1983,183,114
84-3720642,Che,De la Feld,Male,12-26-2011,191,94
39-5660992,Damaris,Godlip,Female,09-29-2008,199,75
16-6870951,Lazaro,Ivashchenko,Male,01-07-1980,176,114
99-9819707,Brander,Kinchington,Male,02-05-2004,159,87
35-4772391,Nicole,Prantoni,Female,07-14-1950,172,148
61-5337863,Alastair,Sayer,Male,08-08-1985,181,54
84-6717475,Barnabas,Howen,Male,11-22-1974,162,113
97-3850730,Anne-marie,Nelson,Female,11-03-1956,187,58
68-6411443,Bil,Shurmore,Male,02-14-1973,155,81
66-5578153,Nona,Rastall,Female,07-11-1956,145,111
